,Unnamed: 0,Unnamed: 0.1,Business_links,Zipcode_searched,Has_reviews,Actual_Zipcode
216,713,102,https://www.yelp.com/biz/bryant-plumbing-heating-and-air-conditioning-oklahoma-city-2?osq=plumbing,73105,No,73110
217,714,103,https://www.yelp.com/biz/jcm-specialty-service-del-city?osq=plumbing,73105,,
218,715,104,https://www.yelp.com/biz/alexander-plumbing-and-electric-oklahoma-city?osq=plumbing,73105,,
219,716,105,https://www.yelp.com/biz/patricks-george-plumbing-oklahoma-city?osq=plumbing,73105,,
220,722,111,https://www.yelp.com/biz/progress-plumbing-oklahoma-city?osq=plumbing,73105,,
221,730,119,https://www.yelp.com/biz/gary-ellis-plumbing-oklahoma-city?osq=plumbing,73105,,
222,732,121,https://www.yelp.com/biz/action-plumbing-oklahoma-city?osq=plumbing,73105,,
223,747,136,https://www.yelp.com/biz/blevins-hvac-and-plumbing-oklahoma-city?osq=plumbing,73105,,
224,748,137,https://www.yelp.com/biz/bruces-plumbing-oklahoma-city?osq=plumbing,73105,,
225,751,140,https://www.yelp.com/biz/plumbing-sales-oklahoma-city?osq=plumbing,73105,,
226,752,141,https://www.yelp.com/biz/myers-alvin-plumbing-oklahoma-city?osq=plumbing,73105,,
227,754,143,https://www.yelp.com/biz/gregorys-plumbing-oklahoma-city?osq=plumbing,73105,,
228,757,146,https://www.yelp.com/biz/trouble-shooters-oklahoma-city?osq=plumbing,73105,,
229,761,150,https://www.yelp.com/biz/metro-plex-foundation-and-drain-systems-oklahoma-city?osq=plumbing,73105,,
230,762,151,https://www.yelp.com/biz/peak-energy-hardesty-team-oklahoma-city?osq=plumbing,73105,,
231,765,154,https://www.yelp.com/biz/metro-service-company-oklahoma-city?osq=plumbing,73105,,
232,768,157,https://www.yelp.com/biz/southwest-water-works-oklahoma-city?osq=plumbing,73105,,
233,771,160,https://www.yelp.com/biz/american-eagle-rooter-and-sewer-service-oklahoma-city?osq=plumbing,73105,,
234,774,163,https://www.yelp.com/biz/clean-club-edmond?osq=plumbing,73105,,
235,777,166,https://www.yelp.com/biz/aladdin-plumbing-oklahoma-city-3?osq=plumbing,73105,,
236,780,169,https://www.yelp.com/biz/pipes-plus-plumbing-oklahoma-city-2?osq=plumbing,73105,,
237,784,173,https://www.yelp.com/biz/payless-plumbing-oklahoma-city-2?osq=plumbing,73105,,
238,791,180,https://www.yelp.com/biz/american-leak-detection-oklahoma-city?osq=plumbing,73105,,
239,797,186,https://www.yelp.com/biz/sooner-service-oklahoma-city?osq=plumbing,73105,,
240,807,196,https://www.yelp.com/biz/mechanical-technology-by-barry-oklahoma-city?osq=plumbing,73105,,
241,818,207,https://www.yelp.com/biz/harrah-plumbing-mcloud-3?osq=plumbing,73105,,
242,854,33,https://www.yelp.com/biz/brakefield-plumbing-and-heating-yukon?osq=plumbing,73106,,
243,874,53,https://www.yelp.com/biz/the-plumbing-company-oklahoma-city?osq=plumbing,73106,,
244,878,57,https://www.yelp.com/biz/d-and-j-plumbing-oklahoma-city?osq=plumbing,73106,,
245,879,58,https://www.yelp.com/biz/chet-walcott-plumbing-oklahoma-city?osq=plumbing,73106,,
246,1008,14,https://www.yelp.com/biz/backwoods-plumbing-sewer-and-drain-cleaning-specialists-yukon?osq=plumbing,73107,,
247,1040,46,https://www.yelp.com/biz/wright-cyrus-plumbing-yukon?osq=plumbing,73107,,
248,1042,48,https://www.yelp.com/biz/hollowell-plumbing-oklahoma-city-2?osq=plumbing,73107,,
249,1046,52,https://www.yelp.com/biz/tate-plumbing-oklahoma-city?osq=plumbing,73107,,
250,1048,54,https://www.yelp.com/biz/jerrys-plumbing-edmond?osq=plumbing,73107,,
